,Name,Message,Party_Affiliation
12,Al Coffey,"['Ok raise the minimum wage and your property taxes go up, let’s install a state sales tax, and why your at it a 6% income tax. That would pay for it. You Democrat’s are demented. Some one has to pay for it and that you!', 'Loralai Elliott ok so vote for the most corrupt rapist there is. ', 'Ellen McDowell Ruggles ok vote Democrat, the most corrupt party in American history. ', 'Joe Weeks you sir are an idiot', 'Barry Goldberg oh so you want a 6 % state sales tax and a 7 % income tax. If that’s want you want move to Massachusetts ', 'Carol Belanger how about you vote for people who don’t tax you to the point you leave. Hey there’s an idea.  And what makes you think I work in Mass. ', 'Pam Michael ok maybe rioting in Manchester would make you more comfortable. ', 'Why don’t you Democrat’s move back to Massachusetts. You left because high taxes, come up here and vote for the very same party you left to get away from. And the first thing they do is want state and income taxes. Go back to Massachusetts ']",0
13,Al Raymond,"['Lol no thanks 😂😂😂', 'Clearly the article is written by a leftist ', ""More smear campaign by the left here !!   Why don't you idiots tell us something good you're going to do rather than just putting down the opposition"", 'Sununu is the man !!!   Trump 2020🇺🇸']",0
14,Al Woodard,"['What a load of crap.  If it were not for Sununu, NH would have been renamed Massachusetts North.  All of you liberal democratic BLM/ANTIFA loving anti Americans need to go back to where you came from.  There is NO ROOM in our great state for the likes of you.  VOTE RED - Remove EVERY Democrat.   ', ""Ginny Morrissey You paid my salary sweetheart.  You pay my retirement now.  As for my health insurance, it was part of the job.  After I retired, I paid my own health insurance.   As for attacking people here, no, no, I am not attacking you.  I actually feel sorry for you and wonder who ties you shoes in the morning.  My only concern is you don't breed.   That would be a travesty.   "", 'Cynthia Knowlton Thank you for making my point. It is easier to give up and let the Government hand feed you than it is to work and earn what you want.    ', ""JoEllen Sparling Cuff Why is it that anyone who disagrees with a Democrat is a racist, Tumper, or troll?   What you are really saying though, is you don't want anyone to question you.  Democrats, fighting like hell to strip away the 2nd Amendment and now working on the 1st as well.  "", ""Cynthia Knowlton  And you still can start at the bottom and work you way up.  You just have to work for it.   That's the issue, no one wants to work.  They want those Government Handouts.  It's the only thing that keeps the Democratic Party alive.  If it were not for promises of Government Cheese, there wouldn't be a Democratic Party.  "", nan, ""Ginny Morrissey I'm  a retired US Marine Corps.  20 + Years, and a retired self employed business owner.  Your response is a typical Democratic ploy.  When you have no response, no intelligent argument to support your position,  you try and attack the other person.   If you want to really help someone who is trying to support themselves or a family on Minimum Wage, work to have more programs for training and education made available.  Giving people everything solves nothing.   The problem is, most of the people on minimum wage, want to be there.  They don't want to go to school or take a training course.  They want to hang with their friends and bitch about how the system is screwing them.   They want that minimum wage increased so they can get  new I phone or some new tats.    That's the truth - sad as it is.  "", 'You act like making Minimum Wage is a ""career path"".   If you are earning Min Wage and you are 30 or 40 - it\'s not the Governments job to correct the idiotic decisions you made in your youth.   ', 'Then please move back to where you came from.  The Veto\'s the Gov signed protected us all from an underhanded back door Income Tax that Danny boy claims to have ""passed"", as well as anti gun legislation from a member of the house of reps who was convicted of assaulting someone she disagreed with, and which were so poorly written that a Police Officer would not be able to obtain a hand gun without going through a waiting period.  The Red Flag Law was so poorly written it would have allowed people to legally ""swat"" people they didn\'t like, and put the power of determining who can even HAVE a gun in the hands of corrupt cops.   If you still support these bills, you should move back to Mass or Conn.   Bye Bye :)']",0
15,Alan Canney,"[""Sue Reinold NH has 2 US Senators, 2 Representatives which are Democrats. NH is controlled by Democrats except for the governor so if it's horrible then the Democrats are to blame since the governor can only do so much with his position."", ""Kathie Costos DiCesare  People that were there including Bolton (who is no fan of Trump) has stated that President Trump didn't say that but you can believe it if you want."", 'Patricia LaGasse-Kraft President Trump signed an executive order for $400.']",0
16,Alan Doyon,"['Elizabeth Crocker Moseley Obama built those cages and used them. The news actually showed file footage from 2014 when attacking President Trump.\nPresident Trump has offered to fix DACA but the Democrats in Congress refuse to negotiate as that would be another win for the President.\nYou really need to watch more than MSNBC and CNN reporting for the truth.\nWithout Congress, Obama used Executive Orders to create DACA, Trump attempted to undo it with an Executive Order but the courts blocked it. Interesting that Obama could create a law by Executive Order while the court denied the same to Trump. Liberal biases.', ""Susan Fortier America never closed it's borders to true asylum seekers. It's attempting to close the borders to break-ins, illegal entry, the same way you lock the doors to your home.\nWould you leave your home unlocked and accept every stranger that came in, regardless of whether they wanted to steal your property, rape you or your daughter?\nHowever, if they knocked on your door and asked for shelter, a meal, and an opportunity to earn their way, without a burden on your family, you and most Americans would help (provided they can show they are not criminals).\nOpen borders isn't the answer.\nInteresting comment that no one wants to come to America anymore... What news are you watching? Millions emigrate to the USA every year, legally!"", ""Susan Fortier that was the old Democrats. Every candidate confirmed to decriminalize illegal entry into the US, plus free healthcare when they arrive...\nToday's Democrats have moved to the ultra left policies.""]",0
17,Alan Scoggins,"[nan, 'Fuck Biden and Harris!!!!!']",0
18,Albert Bean-,['The biggest danger to the Unied States citizens are the demorats n Washington D.C.'],0
19,Alden Nystrom,"['Trump Trump Trump and more Trump !, thank God for real Americans!', 'Diane Allen Schlott no, we need more like the people running Portland, Chicago, New York, you know the ones that can burn the cities down !']",0
20,Alden Satas,"['Youre saying my claim is bullshit?  So youre telling me Ive never seen a transvestite from California come to a NH college campus to register out of state college students to vote in NH elections and I never saw a Bernie Sanders campaign bus shuttle these out of state college students to the polls while giving them all the free pizza and soda they can consume for free?  You people are hopeless, youve got your heads buried so deep in the sand you cant breathe', 'Auntie Paula J you have got to be kidding me.  This page perfectly illustrates the ignorance of Democrat voters.  Trump isnt perfect, I have issues with him for sure but Biden?  Are you kidding me?  Whatever happened to believe all women?  Im just curious because several women have credibly accused him of sexualt assault against minors and just watch him around young girls, its disgusting.  He smells womens hair, he touches them innaproproately.  You people really are messed up in the head.  Im so glad Trump is going to appoint a 3rd supreme court justice, if for no other reason than to watch your collective faces melt', 'Jenny Monahan, Kamala Harris isnt black, shes Indian.  Its so funny because just a week ago I said leftists would assume shes black because she has dark skin proving that theyre the racist ignorant uninformed ones', 'Source?  Are you kidding me?  Walk into any college classroom.  Most students are from out of state, yet the professors encourage them to vote in our elections. \n organizations made up of out of staters go around and register out of state college students.  Democrat campaigns then bus them to the polls and feed them pizza and soda on the way.  I dont need a source to tell me that Ive seen it myself.  Get your head out of the sand.  If out of state college students didnt vote, NH would be deep red.  The reason why college towns are so liberal is because college students go to the polls and vote D straight ticket.  Its not just national elections, its state and local elections too.  ', 'Dead people always vote democrat', 'Am i ignorant because i dont think massachusetts residents should be able to come up here and vote in a NH election?  ', 'Masshole college students will make up the diference.  The dumbocrats take em to the polls by the busload', 'Try thinking for yourself.  Jesus Christ if your opinion on whats true is shaped by what channel you watch, try shutting off the tv and think for yourself', 'Leftists have complained about him firing people since day 1.  Guess what?   Thats how the real world works, if you suck at your job youre out.  ', 'Andrea Gehring Booth funny you downplay George Soros as a conspiracy theory.  Theres a pic of Soros son shaking her hand saying ""this was the moment i knew we found the next vp of the US, my father agreed.""  In 2016 there were leaked Hillary emails basically saying do whatever George Soros says because hes got do much money and is financing us', 'You mean Harris Biden right?', 'Zachary King were you born stupid or did you fall on your head too many times?']",0
21,Alex Kish,"[""He's done more for me than Shaheen and her cohorts ever did. I've #WalkedAway and see absolutely no reason to return anytime soon.""]",0
22,Alexandria Clendenning,"[""I have contacted numerous people to volunteer BIDEN/HARRIS signs throughout NH. I paid for two and have not yet received them. Also the text feed to my phone does not answer responses.  Chris Pappas has people.\n that due. Where are Joe's people. Trump signs and Pappas signs everywhere. Where's Joe's.? Lax campaigning in a swing State. ""]",1
23,Alfred Putney,"['Know thine enemy.', 'So this is where all the liberal douches hang out and spout propaganda at each other. Lmao!!', 'Really? Mike Gill the mental case?The guy accused of laundering money, stealing from the IRS, all kinds of other stuff and you believe him?']",0
24,Alice Landry,"['Trump ,trump,let sleepy joe go back to bed and take kamala with u .she is using him .she knows he won’t make four years.imagine her as president .']",0
25,Alicia McNichols,"[""You're proving my point. Thanks!"", ""Funny how many republicans are on this site just to troll. My God, don't you have anything better to do? You're making fools of yourselves in public with your immaturity. ""]",1
26,Alison Friend LeBlanc,['BYEDON'],0
27,Alison Kay Rose,"[nan, ""I'm going to say that some of you need to go back to school learn to spell and put a simple sentence together 😉"", nan, 'Johnny Kelley yes absolutely. They want taxes so they can pay for all the lazy ass people of this State that want everything for free, like Government aid, free housing, free food etc. Bernie Sanders walks into a bar ""free drinks for everyone, who\'s buying"" what ever happened to get a fing job you lazy ass people.', 'So NH ""live free or die"" apparently if you\'re not going to live for free, you\'re going to die. Most of you Democrats have never even held a freaking job in this state. How about you go out and look for a job? If you can\'t find a job in NH then your not interested in working.', ""you're only poor in this State if you don't want to work and live on SSI. You know the thing...the thing about living off the Government because your so systemically oppressed. Come on man, you know the thing😂""]",0
28,Alissa Souza,['Keith MacMaster they’re only “pro-choice” when it comes to killing unborn babies.'],0
29,Allan Kennett,"[nan, 'go fuck off demtards.']",0
30,Allan Pollard,['Byedon2020'],1
31,Allison Cabana,['Vote blue!'],1
32,Alvin McNeill,"['The democRAT way of thinking, tell it enough times and some one might believe it.  Dictator palosi and the two fraudsters running for office will destroy this country.']",0
33,Amanda Ryan,['Governor is doing a great job!  Trump 2020!'],0
34,Amy Didomenico,['He needs to go along with Trump'],0
35,Amy Walton,"['Kathy Alexander do the work yourself and google it. ', 'Jill King I just read it and it proves nothing. Anything can be taken out of context if that’s what you want something to mean. The world is screwed no matter which way you vote. If Biden wins we will no rights living in a socialist country. If trump wins people won’t accept it and will continue with the stupidity they are already engaging in. However all of this is biblical so it won’t matter too much longer anyway. So God bless. I’ve no interest in continuing to bicker over a losing cause. ', 'Jill King I think you got your dear pal Biden and Trump twisted', 'Jill King gee I don’t know how about some proof, any proof at all. ', 'Michael Joseph there should be no reason that someone can get away with not showing an ID. An affidavit saying what exactly?', 'Stephen Lucey if you vote blue it’s going to get a lot worse. You will be helping to sell this country out to socialism. ', 'Laurel Dean the pathological liar in this presidential race is Biden and all the democrats. ']",0
36,Anderson Moore,['This governor is a clown and needs to go'],1
37,Andi Anderson,"['Vote blue.', 'Andy Philbrook Yup.......tRump for prison. ', 'Sununu is a great fan of hers. Vote blue!', nan, 'Sarah Smith Spoken like a true dumb ass trumpanzee. ', 'Andy Philbrook Yup......for prison.', 'Daniel Schroeder Only if you are a Nazi lover.', 'Matt Weeden Yup.....for prison.', 'Gary Fowler BS. How sad for you that you injected the bleach......Stupid is as stupid does. ', 'Jeremy Daigle No, people like you are scary.', 'Shirley Theis What is so great about this trump and Devos lover. He should be renamed the man against the people.', 'Patricia Besaw Tyszko Nope.', 'Bill Renault BS', 'Lloyd Stockwell Guess you are a misogynistic racist bigot who loves people who lie. TRump has over 20000 lies to his credit. Guess you think we as a nation should give up social security and Medicare. Shame on you.', 'Mildred Mather Shame on you for supporting a lying  misogynistic racist bigot.  ', 'Tim Gelinas BS. ', 'Karen Taverna BS.', 'Wendy Brown-True Stupid is as stupid does. ', ""Sandra D'Augustine Seriously???????? Guess you are a Betsy Davos fan."", nan, 'Michele Cournoyer Forrestall SUNUNU needto be voted out. He is a tRump ass kisser. He loves Betsy Devos as well.']",1
38,Andre Pedzik,"['Go Trump', 'Sununu good man thanks']",0
39,Andrea Gehring- Booth,"['Alden Satas you also watch too much fox and briebart !  Try watching PBS!', 'Karl Anderson you sir are full of crap!', 'Russell Heath  you sir watch too much Fox News!']",1
40,Andrew Bickford,"[nan, 'No, because public schools which are union run I feeding our kids a bunch of crap leftist bullshit that’s why we need choice if you want to send your kid to a school that learns lies and false hoods so be it that’s your choice as a parent not mine']",0
41,Andrew Jeffrey,"['Can we all just take a moment to give Chris Sununu an Amen.\nYou liberals pushed hard, but valor prevailed.\nWe will forgive you all November 4th.', 'Great governor. He has my vote. ']",0
42,Andrew P. Howard,['Trump 2020'],0
43,Andrew Wiles,"['https://nymag.com/intelligencer/2020/09/ruth-bader-ginsburg-supreme-court-preexisting-conditions-obamacare-lawsuit-trump-biden-campaign.html', 'https://www.politico.com/news/2020/09/16/trump-manufacturing-jobs-record-415588', 'https://www.politico.com/news/2020/09/16/trump-manufacturing-jobs-record-415588', 'https://www.forbes.com/sites/chuckjones/2019/08/30/amid-trump-tariffs-farm-bankruptcies-and-suicides-rise/#18d1175e2bc8', 'https://finance.yahoo.com/news/trumps-trade-war-has-killed-300000-jobs-194717808.html', 'We are not impressed by this!\n\n""I never understood wind. I know windmills very much, I have studied it better than anybody. I know it is very expensive. They are made in China and Germany mostly, very few made here, almost none, but they are manufactured, tremendous — if you are into this — tremendous fumes and gases are spewing into the atmosphere. You know we have a world, right?\n\nSo the world is tiny compared to the universe. So tremendous, tremendous amount of fumes and everything. You talk about the carbon footprint, fumes are spewing into the air, right spewing, whether it is China or Germany, is going into the air.\n\nA windmill will kill many bald eagles. After a certain number, they make you turn the windmill off, that is true. By the way, they make you turn it off. And yet, if you killed one, they put you in jail. That is OK. But why is it OK for windmills to destroy the bird population?""\n\nDonald J Trump - self-proclaimed ""very stable genius""', 'We are not taken in by this!\n\n""I never understood wind. I know windmills very much, I have studied it better than anybody. I know it is very expensive. They are made in China and Germany mostly, very few made here, almost none, but they are manufactured, tremendous — if you are into this — tremendous fumes and gases are spewing into the atmosphere. You know we have a world, right?\n\nSo the world is tiny compared to the universe. So tremendous, tremendous amount of fumes and everything. You talk about the carbon footprint, fumes are spewing into the air, right spewing, whether it is China or Germany, is going into the air.\n\nA windmill will kill many bald eagles. After a certain number, they make you turn the windmill off, that is true. By the way, they make you turn it off. And yet, if you killed one, they put you in jail. That is OK. But why is it OK for windmills to destroy the bird population?""\n\nDonald J Trump - self-proclaimed ""very stable genius""\n', 'We understand the risks\nhttps://nymag.com/intelligencer/2020/09/ruth-bader-ginsburg-supreme-court-preexisting-conditions-obamacare-lawsuit-trump-biden-campaign.html', 'We are not blind...\n\nhttps://finance.yahoo.com/news/trumps-trade-war-has-killed-300000-jobs-194717808.html', 'It is a great shame that people with political motivations will attempt to distort the work of physicians and scientists. These are quite literally the people that we trust with our lives when we fall ill or are misfortunate to have an accident. I hope that you can reflect on this and realize that to affect this data would require the complicity of tens of thousands of physicians who both conservatives and liberals would be breaking their hypocratic oath to report false data. They would also have to lie to the families of the deceased to perpetrate such a fraud. There is no way that a fraud on this scale could be contained. This may not be the truth that you want to hear but I hope that you can come to realize that you have been lied to on this subject. ', 'Craig Mcquade Provide evidence or you are wrong. Death reporting is a serious part of a physicians job. I work with healthcare data and I have never seen any evidence that physicians will misreport data other than through a genuine mistake - which are very rare.', 'Craig Mcquade Provide evidence or you are wrong.', 'Craig Mcquade There has been no evidence provided to back up the assertion that reasons for death have been incorrectly recorded. Doctors gain nothing by misrepresenting this information as it is a very important part of the data collected that leads decision making in the healthcare community.', ""Craig Mcquade Christina Ruth is correct. There has been some unfortunate misinformation circulated about the CDC's report on comorbidities. This report was intended to help people to understand the conditions that might make someone more susceptible to dying from COVID-19. "", 'Since mid July the daily rate of death in the USA has been around 1,000 per day (so approximately 90,000 over the last 3 months). In New Hampshire the rate has dropped to 3 or 4 per week.', 'Jill is turning out to be an incredibly effective force in the Biden campaign. It is almost as-if he can be in 2 places at once. ', 'Socialist [ˈsōSHələst]\nNOUN\na mythical (imaginary) beast used to scare Republican children of all ages into voting against their own interests.\n', ""Jerry Sickels Maybe an America that no-one recognizes is exactly what we need. Trump's America is badly broken and heading in the wrong direction. Some of us can imagine a better, fairer and more just America. You would probably enjoy it if you had the imagination to join us."", ""It's so tiresome to see the usual uninformed American mud slinging on minimum wage. So here are some observations from a country that raised its mimnimum wage in 1999.\n\n* Increases in the UK national minimum wage since 1999 had no negative employment effects on the overall UK labour market. Many of the effects following these increases were largely positive in terms of reducing pay inequality and improving the standards of living for low-paid workers.\n\n* However, a further sub-group analysis of the UK labour market found some adverse negative employment effects on certain sub-groups as a result of increases in the national minimum wage. This included part-time employees who have endured some adverse negative employment effects compared to other labour market groups.\n\n* Only during the recession in 2008 were young employees adversely affected, with a decrease in employment retention probabilities. However, it is hard to link this solely to increases in the national minimum wage, as other factors linked to the recession may have contributed to this decrease.\n\nSo, in the UK the effect of actually doing something was mostly positive but with some groups losing out. Shouldn't we all want something that is mostly positive?\n\nhttps://www.rand.org/randeurope/research/projects/national-minimum-wage.html"", 'Thanks for your comment. We need people like you to keep turning up to promote the lies and defend the indefensible. People like you show us why it is so important to vote Trump out in November. Keep up the good work, we need the world to see who you are.\n', 'Thanks for your comment. We need people like you to keep turning up to promote the lies and defend the indefensible. People like you show us why it is so important to vote Trump out in November. Keep up the good work, we need the world to see who you are.\n', 'Jon Adams You have ignored the fact that he, along with the rest of congress was being fed invalid intelligence by the Bush administration regarding the infamous weapons of mass destruction. The fundamental failure was with the Bush administration. Biden and others were voting based on information that the Republican administration knew to be dubious if not outright false. Maybe congress was too fast to support the war but the blame needs to be placed on the administration that chose to deceive congress about the circumstances. Attempting to single out Biden from all the other members of congress who voted for action in Iraq is extremely disengenuous.', ""Which war was that? The one that the Bush administration started by using false intelligence? It's a bit of a stretch to try and place responsibility for that on Biden or anyone else that was working on the basis that the intelligence congress was being given was correct."", 'It really is truly pathetic to see people trying to defend the indefensible by sticking their fingers in their ears and shouting ""la-la - I can\'t hear you""\n\nIt has now been verified by several other outlets including Fox.', 'Carol Nash Trottier Yeah - Blaze TV isn\'t a serious source and I don\'t think he probably understands that any ""story"" about corruption where there is no prosecution is - ""just a story"". The Trumps have been prosecuted and lost on numerous occasions - that is verified corruption. ', ""Weird - Hunter Biden isn't a politician or standing for election or are you seriously saying that you are concerned about nepotism or corruption attached to a politicians family? - because if you are then the Trump family stinks out the swamp like none-other."", ""Jerry Sickels If you look back over several years the Atlantic is a pretty reliable source of news and holds decent standards for verification of sources. It is not confirmation bias when someone confirms what has been previously and accurately reported.\n\nKeep up with the denial though - he really doesn't care about you any more than he does about me. The only difference is that I won't be surprised when he let's us both down again.  "", 'I think that the important message here is that he ""got found out"" <sic>', 'Just because a journalist does not name sources does not mean that there are no sources. In fact the author has made clear that there are muliple sources. In truth this is only reporting what we have all seen in respect to his comments about John McCain so it is not exactly revelatory news. \n\nYour state of denial excusing his behavior is really rather sad. ', 'Suggestion: Could someone create a video on how to correctly fill in a ballot. A lot of first time voters make mistakes that invalidate their vote. It is especially important for people filling in mail-in ballots to ensure they will be counted.', 'Paul Gargalowitz Yes - the 2016 platform with a 2020 sticker on it. Kinda makes you think that they achieved nothing over the last 4 years.', ""Paul Gargalowitz There was a time when I would have considered myself a fiscal conservative but over many years I have watched the GOP abandon most of it's principles and abandon attempting to grow its membership in favor of appealing to single issue voters and manipulating the voter base through gerrymandering and voter suppression to stay in power. This year the party has put forward no policy platform at-all. Perhaps if the Republicans were to return to promoting an idea based agenda I would consider returning but I fear that is a lost cause.  "", 'Curtis Clark Each time you or Trump make a racist, misogynistic or ignorant statement; each time you lie, draw false equivalency, ignore the teachings of your religion or put up a fake straw-man argument; each time you cover for the crimes, excuse the inexcusable or put partisanship in front of patriotism; each time you do any of these things you make the case for replacing Trump stronger and add another convert to our masses. Keep up the good work, people like you are the reason that Trump will lose in November and I am grateful to you for accelerating his demise.\n\nYou are doing exactly what we need you to do in order to ensure Joe Biden will be the next president of the United States of America.\n\nThank you for showing the world exactly who you are. It is important that everyone knows.\n', 'Shawn Mitchell What is there to debate? Trump failed to contain coronavirus. We have the rest of the world to compare against and particularly those nations that are considered to be developed. Those of us who are serious about getting the economy up and running again know that we need to get back to a science led response.\n', 'Paul Gargalowitz Because I heard about how friendly New Hampshire is. Why are you here?', 'Ralph Racer Many thanks', '""I never understood wind. I know windmills very much, I have studied it better than anybody. I know it is very expensive. They are made in China and Germany mostly, very few made here, almost none, but they are manufactured, tremendous — if you are into this — tremendous fumes and gases are spewing into the atmosphere. You know we have a world, right?""\n\nDonald J Trump <Very stable genius>', 'Stephen Boney Each time you or Trump make a racist, misogynistic or ignorant statement; each time you lie, draw false equivalency, ignore the teachings of your religion or put up a fake straw-man argument; each time you cover for the crimes, excuse the inexcusable or put partisanship in front of patriotism; each time you do any of these things you make the case for replacing Trump stronger and add another convert to our masses. Keep up the good work, people like you are the reason that Trump will lose in November and I am grateful to you for accelerating his demise.\n\nYou are doing exactly what we need you to do in order to ensure Joe Biden will be the next president of the United States of America.\n\nThank you for showing the world exactly who you are. It is important that everyone knows.\n', 'I have recently moved to NH - Is there a good site/source that will help me to learn about all the candidates who will be on the ballot November and their party affiliations. I want to make sure that we can achieve a clean sweep.', 'I fear that they laugh because they are insane. You would have to be at least a little insane to vote for a party that quite literally has NO PLATFORM for the coming election.']",1
44,Andy Blodgett Jr.,"['Sharon Diane Westen your a jewel ! ', 'Sharon Diane Westen  thank you. In most societies that’s a great honor.     Obviously your a worthless dumbocrat', 'Victoria Cole Brofman   Wrong.   The Governor has confirmed he cannot direct mandatory  masks.   The state constitution prevents it. !  Oh no.  I might offend a Snow Flake.', 'How quickly you die hard democrats forget the thousands who protested for BLM.  Shoulder to shoulder.  No mask. Just welfare vouchers and  unemployment receipts    You want No Cedibility.  Look to the Democratic Party.   Their candidate can’t remember his name of location most days and the VP. Choice  is a confirmed gold digger.  With no mine. Just a shaft ']",0
45,Andy Gravel,['Oh shove off..we’ve seen what happens with democrats in charge. Mayhem and socialism. No thanks! '],0
46,Andy Philbrook,"['Trump 2020 all the way Tina Philbrook ', 'Vote Trump 2020 Tina Philbrook ', 'Voting in person Trump 2020', 'Trump 2020', 'Nope ', 'Change the channel every time I see Biden’s lies. Vote Trump 2020 ', 'Think how many times Jeanne Shaheen has voted against President Trump and with the left regardless of how it hurts people. Shameful ', 'Trump 2020', ""Controlled burns and real forest management would go a long long way.\nPlus getting the arsonists behind bars would help too.\nThese fires are no joke and shouldn't be made political.\n"", 'Trump 2020', 'All lives matter Trump 2020', 'Military families stand with President Trump. This is shameful yellow journalism and everyone should see right though this. Democrats and Biden should be ashamed they even repeat this. Make us want to re-elect Trump even more. Trump 2020', 'Trump 2020', 'Trump 2020 all the way ', 'Trump 2020 ', 'Trump 2020', 'Trump 2020', 'Trump 2020']",0
47,Andy Renda,"['Take your sales tax and shove it Dems', 'And Dems would increase the minimum wage and immediately stick the state with an income tax which Chris has vetoed. The only people making 7 something an hour are the baggers at Market Basket.']",0
48,Angela Alejandro,"['💙💙💙💙💙💙👍🏻', '💙💙💙💙', 'Go blue 💙\U0001f9e2', 'Molli Mckeen \U0001f9e2\U0001f9e2\U0001f9e2\U0001f9e2\U0001f9e2', 'Go blue 💙💙💙💙', '💙💙💙💙💙💙💪💪']",1
49,Angie Ankica Buffa,['BIDEN AND HARRIS THE TRUE PARTY'],1
50,Ann Brogan Barbi,"['Voting blue in Nov, please join us!!!']",1
51,Ann Chadwick,['I have several Biden/Harris signs in our yard at the street and need more to place further.  We live on a very busy street too!  Sharing the word!'],1
52,Ann Foss,['Kevin Kramich I live in New Hampshire all my life vote Democrats '],1
53,Ann Medwid,"['Pauline Decato To bad you belong to the Trump cult. You like people who let other people DIE!! We are getting close to 200,000 people, so sad. You should try reading to educate yourself. May God help you!', 'Why does it always come down to money, when you deal with Trump?', 'To bad he follows Trump!', 'Why would he do this to our state. Not good to let people get sick and some will DIE, guess he doesn’t care, not a good leader!']",1
54,Ann Noll,"['JDay Hilley people die of all kinds of things every day. It’s part of life. We will not live forever. ', 'JDay Hilley still sounds like good odds to me. Open up the country. ', 'Support Sununu.  ', 'Kathleen Doherty Whitham it’s much better than the millions that were originally predicted. So I think president has done a fantastic job in keeping the numbers so low. ', 'If your public schools refuse to open then parents should absolutely have assistance in sending them to a private school. Easy solution open up the schools. ', 'Hal Tuttle that is tragic and sad but that is not everyone’s experience. Some people will get sick and die just as some die every day from all kinds of disease.  Unfortunately that is part of life. ', 'Kate Headen Waddell the point is if you are younger there is such a miniscule chance of getting sick that the response is unnecessary. If you’re older then take more precaution. Some of the deaths were actually died WITH  Covid not from Covid. ', 'Deborah M Orell Cuevas glad she had a mild case like 98% of cases. Still think schools and businesses should all open. Risk of being fatally ill not enough to keep so many out of work and school. ', 'It’s unfortunate to lose a loved one but majority of deaths were over 75 with other health issues. So out of 330 million people I don’t think 170 thousand is enough to cause such panic.  ', 'Kathleen Doherty Whitham ', 'Why does everyone think that if you do get the virus you’re automatically going to die??? There is a 98-99% survival and majority that have it are symptom free and don’t even know they had it or it’s like the flu nasty but survivable.  Response to this is so overblown and more dangerous than the disease. ']",0
55,Ann Veilleux,"[nan, 'Fuck Trump']",1
56,Ann Williamson,"['Mike Blais I’ve lived here my entire life - not a “masshole” but I am a Democrat, I’m not alone. There are many thousands of NH natives who “vote blue” ']",1
57,Anna Chick,['Trump for 2020'],0
