,Message,Party_Affiliation,Republican Count,Democrat Count,% Certainty,Categorization
53,ginger rojas i recognize your profile you like to stir the pot name calling and nothing more youre part of the problem but i do like your profilelifes a joke and so am i the wisest  thing youve ever said  tom stano the teachers union has procrastinated uh we all had to wait for our individual superintendents and school boards to tell us what we would be doing many of us found out a week ago playing the blame game in the middle of a pandemic is ridiculous and we dont get paid to work in the summer but your expectation was that we work for free to solve a problem that we had no say in nope and nope ,2,0.0,0.0,,
54,deborah eldridge sargent love your response ,2,0.0,1.0,100.0,1.0
55,no thanks ,2,0.0,0.0,,
56,prioritizing some vague idea of flexibility over safety puts staff and kids at risk unacceptable ,2,0.0,0.0,,
57,fay lee ,2,0.0,0.0,,
58,sickeningnot voting for him thats for sure neither will i  didnt vote for him last time neither will i this time  ,2,0.0,1.0,100.0,1.0
59,,2,0.0,0.0,,
60,steven kenneth virtually no one  care to stick an actual number on that or explain if its no one why it cant go up ,2,0.0,0.0,,
61,im not voting him out,2,0.0,1.0,100.0,1.0
62,hey everybodymake sure you wear a mask until you diei like how you put the hairdresser on your videoif it was up to you you would have kept all the salons closedits truethis november we will not forget,2,0.0,0.8,100.0,1.0
63,susan corkey messner and mindi mesmer have similar names but v diff alignments ,2,0.0,0.0,,
64,plandemic,2,0.0,0.0,,
65,i actually believe he is distancing himself from these crazy totalitarian policies being preached by trump his disfunctional family of idiots and his fellows of felons and dictator friends,2,0.0,0.0,,
66,this is sununus version of dodging the draft  ,2,0.0,0.0,,
67, lies compare to cuomo and some of these other jack offs  hes done a pretty damn good job,2,1.0,0.0,100.0,0.0
68,roger detzler is this the roger detzler who owned the ioka in exeter stephanie baxter i served as a school board member for twelve years i left elected office in march you should consider attending budget hearings and see how frequently districts have to respond to outside unfunded mandates curious how much do you think school board members get paid for their service curious how much do you think school board members get paid for their service,2,0.0,0.0,,
69,if he was a democrat you would all praise him for holding the republicans at bay lol,2,0.0,0.0,,
70,well perhaps in a few weeks they can console each other with patriotic gasping noises as they say hello to cain,2,0.0,0.0,,
71,i never liked him or his bush serving father  more nepotism that we dont need they are all two faced and will say anything for a vote ,2,0.8332999999999999,0.0,100.0,0.0
72,rita broughall your kidding right,2,0.0,0.0,,
73, ginger rojass profile says it all  life is a joke and so am i   most likely a bot or someone who created an account to stir up shit ,2,0.0,0.0,,
74,but youd vote to kill babies now wouldnt you lol you people are dingbats through and through chris sunuisance is a big fat rino and doing you libs dirty business under the guise of a republican dumb af you democrats are fact ,2,1.0,0.0,100.0,0.0
75,will support sununu and not the bait and switch democratic agenda for nh introduce taxes under the guise that property taxes would be lowered something which is under the jurisdiction of each town and not the state government,3,0.0,0.0,,
76, evil selfish assholes ,2,0.0,0.0,,
77,you  lost  my  vote  governor,2,0.0,0.0,,
78,biden is going to be the next president,2,0.0,0.0,,
79,i dont think we should die on the hill of masks worn at a 45 rally a couple of weeks ago there are bigger issues focus,2,0.7143,0.0,100.0,0.0
80,sununu has my vote i moved here from ny and ill do my best to not let what happens in that hellhole happen here fred greene well said,2,1.0,0.0,100.0,0.0
81, wish i could but live in an apt building and know damn well someone would take down and pointless to just put in window as my apt windows face my backyard ,2,0.75,0.0,100.0,0.0
82,he wont be getting my vote nope,2,0.0,0.0,,
83,ann marie hilchey i agree ,2,0.0,0.0,,
84,so much for representation,2,0.0,0.0,,
85,joanne beaulieu currie agree,2,0.0,0.0,,
86,andy philbrook perhaps you should learn the definition of lie  ,2,0.0,0.0,,
87,david bleiler  amen,2,0.0,0.0,,
88,you suck too,2,0.0,0.0,,
89,how to replace teachers 101 nnyou need to be aware of an effort within this new normal when it comes to schools shutting down and the tech industry that is forcing the shut downs in order to profit off of more online learningnwe know the tech industry is pushing with the help of the national teachers union to close schools and push remote learning we have the documentation that shows all of thisnso when you see articles like this you need to know that the blog sites and authors are part of the industry that is forcing the shut downs and pushing online learning to profit off of your kidsnthey are not offering solid advice for parents on how best to deal with the shut downnpods may be a great alternative thats not my point my point is that these blogsauthors are making money off of the shutdown and online education sources thats not independent thats a marketing tool used to influence younthe same industry that is shutting down free speech on social media and lining the pockets of politiciansnparents will have to get creative since this is the industry that is purposely shutting down public schools in order to move children to this new model this was all planned out prepandemicnso when you read look at how the kids are set up in front of a computer read the article and look at how they are pushing towards online learningnthere is an agenda within this article from education nextnpods can be a good alternative for parents who need them so can homeschooling but there is a difference when looking at solutions for parents and identifying the players who are looking to profit off of your kids by forcing these shutdownsnyou can see it in this article you can see it in the picture they used for this articlenessentially these people are forcing the shut down and then offering you a solution that profits themnwhen i offer parents options its not because im part of a network that pays me to push online learning to line my pocketsnonline learning may be an option but if i suggest it its not because someone is paying me to suggest itnthe author makes money off of disruptive innovation he has a vested interest  by pushing online learning  httpswwweducationnextorgrapidrisepandemicpodswillparentresponsecovid19leadtolastingchangesfbclidiwar0pfgwywgqismsdwwoidt9r15qbky1h1jyzxeb4vtaxgp9wq4rjyejseg,2,0.75,0.0,100.0,0.0
90,typically i endorse governor sununu but this time i believe he caved into trump  he failed to follow the rules he put on place ,2,0.0,0.0,,
91,no its true hes awesome,2,0.0,0.0,,
92,trump doesnt want to shake hands with his discusting supporters what does that tell you cant wait to get mine,2,0.0,0.0,,
93,karen k hotaling i just  recently read about it so i thought it was more recent  still feel the same  though yes that too was very disappointing i thought he did a fairly good job with the covid situation especially for a republican but his veto on the independent commission on legislative redistributing has done it for me,2,0.0,0.0,,
94,780 is not a living wage and many workers dont get 40 hours,2,0.0,0.0,,
95,thank you govenor sununu for keeping our great state safe diane farnum chessman i agree i love our state of nh we are free i dont think gov sununu would put up with it the riots and vandalizing our stores and statues i love our state of nh thank you for all you do govenor sununu its sad but everyone knew the 600 a week was going to endthere are jobs out thereyou have to do what needs to be done to keep a roof over your head i have been fortunate to be working through this but i also have put myself at riski love our state of  nh and i feel  our govenor has done a great job keeping up safe and updated,2,5.814,1.75,76.86,0.0
96,public schools want to be a  monopoly  they are competion,2,0.0,0.0,,
97,thank god for our governor chris sununu he is doing a fantastic job,2,0.75,0.0,100.0,0.0
98,toxic fumes,2,0.0,0.0,,
99,we need them in hampstead ,2,0.0,0.0,,
100, o way,2,0.0,0.0,,
101,another outrage,2,0.0,0.0,,
102,hope we get a new governor nov 3rd until now i thought he was ok,2,0.0,0.0,,
103,sununu i will be there to cast me vote for you yeh ,2,0.0,0.0,,
104,and china escapes all blame for killer virus ,2,0.0,0.0,,
105,the same could be said about shaheen hassan kuster and pappas  theyre nothing but rubber stamps for the democratic party in spite of new hampshire residents httpsgranitegrokcomblog201904annkusterisafraidofcypelosi ,2,0.7857,0.0,100.0,0.0
106,what is the whole budget to be spent  were there funds for private schools before covid  i feel like this story may be missing information carl vitello exactly waiting for the government to take care of you is accepting whatever dumb rules they come up with in the future,2,1.0,2.0,66.67,
107,all politicians are rich kids need to go to school people need to get back to work lets get this country going again,2,3.4333,2.0,63.19,
108,good luck in this state with that message u0001f92a,2,0.8,0.0,100.0,0.0
109,u0001f92eu0001f92eu0001f92eu0001f92eu0001f92eu0001f92eu0001f92e,2,0.0,0.0,,
110,absolutely not,2,0.0,0.0,,
111,excellent thats why granite staters like him,2,0.0,0.0,,
112,totally unrelated to any specific candidate but political signs in general are a waste of money and natural resources no one is going to be convinced to vote for someone because of some sign on someones lawn people dont decide who to vote for based on a lawn sign and if they do there are far bigger problems,2,0.0,0.0,,
113,cathy forsberg thing is though nh was ranked as one of the three best states at handling this virus nlower cases nlower death countnhe took foreign aid so we didnt run out of supplies nid like to see the peer review and sourcing for the claims of this post  marie cotrone carpino exactllllyyy robert mcafee everyone calling sununu a yes man did anyone remember when trump denied aid from foreign countries for the virus sununu got the supplies we needed from other countries not our own ndefended our 2a nkept our state free of federal meddlingni wish people looked at who was running against him absolute jokes running against him this year ,2,0.9091,0.0,100.0,0.0
114,he dumb and will be out of a job bye im am an essential  i have not stopped working and im compromised also  so ya alittle help would be nice  charles watson on ssdi not possible  how about a rent cap its getting impossible to pay rent ,2,0.0,0.0,,
115,i just ordered some signs bc i didnt know where to go to get any ,2,0.85,0.0,100.0,0.0
116,greg dumesnil it look like you have never have done blue collar work sanitation worker construction factory work restaurant janitorial that many white collar workers benefit from ,2,0.0,0.0,,
117,what does showing some guy paving a cement sidewalk have to do with this issue,2,0.0,0.0,,
118,refuse treatment to these people sob disgusting racistni hope karma comes to you in lightning speed james spillane what a bunch for bullncongratsnyou elected a trollop who validates your awfulness n moral imperativenthese people have as much morals as jerry falwell jr ,2,0.0,0.0,,
119,stephanie baxter remember private schools can reject applicants due to learning disabilities physical capabilities  behaviors etc ,2,0.0,0.0,,
120,he well be fine if is wife does not see this she sick too sniffing little girls  bad  chris sununu is doing great ,2,1.0,0.0,100.0,0.0
121,timothy huckins many of those riots are done by extreme right wingers   lucy gomes like it is becoming under trump,2,0.0,0.0,,
122,it is still the parents who make the decision  they dont have to send them back,2,0.7778,0.0,100.0,0.0
123, all bull shit wake up people,2,0.0,0.0,,
124,joe robbins problem here is our useless legislature isnt representing the citizens that elected them,2,0.0,0.0,,
125,jennifer trainer dumond it just popped up lol but i dont mind logical liberals unfortunately most of them are endangered speciesu200d im socially liberal dont care what people do or believe long as it doesnt effect me in a negative way fiscally conservative thats just being a grown up bahaha may as well just send them to the seacoast by far the worst ticket in us election history  this is a spoof right a joke,2,0.0,0.0,,
126,your full of crap,2,0.0,0.0,,
127,i do not put any political sign on my lawn  they will not convince any one how to vote lots of liberal democratic chatter on this post  sununu has done a great job as governor he handled the pandemic well he allowed local officials to do what is best for their community he brought people together to do what is best for the reopening of each business type he has controlled the liberal democratic spending saving taxpayers money and he is for nh and is not loyal trumper as the democrats are trying to point out  sununu needs to get reelected and keep a legal aid lawyer who never managed anything out of the statehousefeltes  he has no qualifications to be governor sununu has done as great job for nh controlling the covid outbreak in our state  his level headed common sense approach involving many people in decision making has established good results for our state  being fiscally conservative sununu has controlled our budget and has prevented the democratic legislature from overspending and causing our taxes to increase how can some comments be so negative about a governor who has done a good job leading us in these hard unusual times of this unbelievable pandemic  nh continues to be very safe compared to the other states  laurel dean the unemployment in nh is very low compared to other states  many people are happy to live in nh and enjoy our lifestyle healthy environment and low taxes with our friendly people who value their freedom and the ability to improve oneself thru hard work  many people struggle in the democratic lead states around us and are taxed to death despite their challenging living conditions  conservative values is what makes nh a great state to live in not the liberal tax and spend democrats who want to come in and destroy the nh lifestyle laurel dean  some people do struggle in nh but always have  you can not blame that on gov sununu who has done much to help our states citizens  people struggled under hassan and shaheen also sometimes more and there was no pandemic  and there are many more houses in nh far better than mine but that is irrelevant on the subject of sununu who has done a lot to improve our state laurel dean they will be making way more than the state minimum wage of 725 the minimum wage is insignificant and has no bearing on our state  no one is paid 725 in nh  most fast food and service businesses are paying 1112 per hour to start  our unemployment is very low and people in nh are living well for the most part  nh was just voted as the 1 state to live in in the country  no sales tax and no income tax great environment and just a fun place to live  sununu has been doing a great job and handling the pandemic very well keeping us safe  the democrats attack but with no basis as we are having a good life despite the pandemic  we do not need the democrats tax and spend programs taking away our freedoms and way of life  if you want to be a democratic wannabe go to ma or ct  but leave nh free for our great lifestyle winston grady he has led nh very successfully thru the pandemic managed the federal money well to address 1st responders and healthcare facilities obtained ppe equipment when little was around vetoed many spend bills of the liberal legislature etc  the minimum wage is unnecessary as no one working in nh makes 725 per hour  mcdonalds and other fast food places are trying to hire at 1112 per hour to start  some employers can not find help  our state economy is good despite the pandemic  gov sununu has done a great job winston grady look at how nh is doing with covid19 and our economy to hell with the democrats  sununu has done a great job and will do so for 2 more years,2,42.1738,1.9524,95.58,0.0
128,crooks all stand together ,2,0.0,0.0,,
129,i dont think soget your factsn best economy in nh history,2,0.7143,0.0,100.0,0.0
130, kathleen lang sounds like ur ass hurt  patricia snyder go back to mass i couldnt agree more with the gov no one should be getting 15 an hour to flip a mcdonalds burger,2,0.0,0.0,,
131,robin schnell i work on 1150hour i can pay my bills 750 rent 225 car payment 100 cell phone 25 credit card every month but a savings account isnt an option ive been trying to save as much as i can but if the minimum wage was raised i would most likely get a raise as well i remember when i was 1516 my pay was always 725 at 17 i was at 10 an hour at one job 850 at the other summer job at 18 i was being paid 905 at 19 12 an hour at 20 10 an hour plus 100 a week minimum in tips all of those were food service jobs i just moved onto retail and make 1150 but it is the best job i have had to date id say my only question is why is it that i can go from job to job with even more experience but still get lowballed for a wage ive been in the hospitality industry since i was 15 and it seemed like the extra experience i had never really gave me much of a pay bump except for my first job they were all abovenminimum wage im not really sure what my point is just trying to illustrate my struggles with being paid what is a fair wage  i am a college student by the way and have to pay for my education on my own i have some student loan refunds that really help me each semester but it is rarely more than 500 i think that education is really the only way to get a wage increase and i agree that everyone who cant put themselves through school should be able to make enough to feed their families and have somewhat of a savings account but there are so many factors and i think because new hampshire has so many small businesses that it is difficult for them to make a way for themselves so they have no choice but to keep labor costs low i also think the higher the wages go the less staff a small business will hire which makes everything so much more stressful for those who already work there,2,6.9143,0.0,100.0,0.0
132,tom seiler no bud you need an education its hilarious how confident you are and how moronic you look since you are so wrong  ,2,0.0,0.0,,
133,tom stano its important that you understand how districts unveil their plans and who is in charge before assuming wrongdoing yours is another perfect example of demonizing hard working educators for wanting to be safe and assuming we have been given the power and voice to do so i report to work tomorrow remotely with no clear path and am uncertain of what or who i will be teaching in person in a few weeks the districts framework which the school board voted in favor of has turned into a guideline our union is now working to remediate issues with the planincluding having up to 18 high school students in a small classroom we cannot act or plan in a thoughtful way without leadership to guide us that begins at the state levelnalso ive been busy this summer trying to figure out childcare for my own two children since the governor refused to act in a way that allows the state to follow a uniform plan oh and budgeting my money since i havent gotten paid since june to ensure we have enough money to cover medical bills this fall,2,0.0,0.0,,
134,,2,0.0,0.0,,
135,dan hynes perhaps the landlords should pull themselves up by their bootstraps and try working a real job no more handoutsliving on others people money they should have thousands of dollars in savings anyways and if they dont theyre lazy and deserve to starve thats the american way of course,2,1.0,0.0,100.0,0.0
136,shouldnt be a problem if there is nothing to hide,3,0.0,0.0,,
137,the most obvious obstacle is coronavirus attacking students in our classroom  what type of plan do we invest in,2,0.0,0.0,,
138,thanks,2,0.0,0.0,,
139,brian rapp all the time,2,1.0,0.0,100.0,0.0
140,stfu  ,2,0.0,0.0,,
141,laura paquette they were taken the same dayanother reason to think you dont know what you are talking about,2,1.0,1.0,50.0,
142,,2,0.0,0.0,,
143,voted for you but now i might not if you think trump is good for america how can you  ,2,1.0,0.0,100.0,0.0
144,and quebec another low incidence neighbor nh is fortunate to be bordered by the atlantic ocean maine vermont and massachusetts ma took the virus seriously from the getgo and was able to turn around the awful vector resulting from the biogen conference  the state needs to work with the local communities there is lots of science and data that state leaders can help local leaders apply to their unique community there is also the question of how to maximize inadequate money to best meet the communitys goals contingency planning should be addressed collaboratively as well ,2,0.0,0.0,,
145,laura spottiswood not if they have no insurance  that is the point of planned parenthood  they do many things besides abortion  educate yourself  adrienne spear welcome to new hampshire we are not all assholes ,2,1.0,0.0,100.0,0.0
146,loser ,2,0.0,0.0,,
147,not many mask,2,0.0,0.0,,
148,what do you expect  hes a trump lover i think he did a good job on the pandemic but i wont support anyone who supports trump,3,0.0,2.0,100.0,1.0
149,gary phelps troll,3,0.0,0.0,,
150,diane farnum chessman npersonal opinions nto each his own,3,0.0,0.0,,
151,we need to get this idiot out of office,3,0.0,1.0,100.0,1.0
152,got mine today,3,0.0,0.0,,
153,in all fairnesseven tho he was wrongif people are stupid enough to attend thats on them the sad part is the innocent ones who did not attend should not have to pay the price,3,0.0,0.7143,100.0,1.0
154,suzanne mckinnon now thats funny donald trump has never made a coherent statement in his life do you really listen to the incoherent statements that he makes lol,3,0.875,0.0,100.0,0.0
155,gary fowler we are called whiny when we dont agree with trump proud of it was a republican and would never vote it again  reason though to vote him out,3,1.75,1.92,52.32,
156,pam charbono really could you provide some documentation for your 30 minute claim because i havent seen or heard that anywherebut perhaps you are an immunologist  if you could even spell itfake news pam fake news some really inconsiderate thoughtless and downright rude comments on here disgusting wow some absolutely disgusting obnoxious comments on here dennis edward champney you are a donkeyn dennis edward champney too bad you didnt learn homonymsyou could seem smarter ginger rojas apparently you think we do rude ginger rojas rude and obnoxious congratulations ask if we care what you think because apparently you think educated people do tom stano the teachers had little to nothing to do with any plansget educated deborah eldridge sargent interesting profileno education to show theres a surprisenot youre a nasty person karen taverna penny wise and pound foolish karen taverna disgusting  deborah eldridge sargent seriously disgusting,3,0.0,2.0,100.0,1.0
157,he is great and i will vote for him,3,3.0,0.0,100.0,0.0
158,i live in salem nh in mobile park  no signs allowed but would love a sign for my car  thank u karen aagesen so would i,3,0.0,0.0,,
159,sean do not knock chris sununu he is republican and i think   he has done a good job in n h,3,5.5325,0.0,100.0,0.0
160,jim burnham if a trump goes so does your privacy and life then why does he support planned parenthood and why did he shut churches down knowing the president was not for that but he also supports planned parenthood yeah right hes a puppet for the demsnvote for karen testermann,3,0.0,0.0,,
161,leo moss this man is in his late 50s just a dead beat  he did pay rent till covid we r not rich we r good to people who rent from us there is no excuse for this just a note from a landlord we have good tets that we have worked together to get thru this dificult times however we have one man who receives a check every month but decided to stop paying rent bec of covid his income did not change  he now has paid no rent for 6 months and he has not paid for his own electricitywe r retired we invested in this property not to support a man who thinks its ok to live off the hard work of others so the other people living in our property have worked with us  no one is being evicted except a man who wants a free ride not every landlord is rich we have taxes to pay water bills trash removal etc not to mention the bank wank their money too so when u think of eviction please no there are reasons some times,3,2.0,0.0,100.0,0.0
162,vote this man out please,3,0.0,0.0,,
163,sickand some of them will get sick,3,0.0,0.0,,
164,great kindling for fire pits,3,0.0,0.0,,
165,beverly lauder uhhh what  republican state sure ok lol just like his father and brother chris is terrible at his job just another self serving fool who needs to go lucy gomes as opposed to what a wanna be authoritarian and a fake christian  lucille lowe never again will never vote for a sununu ever the whole family is bad news robert strangman i could and never vote for him after seeing the lousy job his father and brother did for this state the whole family are nothing but a bunch of self serving jerks  now trump has concerns about voting in person he reeks of a man who knows he is gonna lose sad and desperate  alan hills because there are some people in this state who think the sununu name means good things for this state they all are terriblenvote blue he is just awful just like his dad and brother vote blue joanne berger that is all aunt betsy is looking out for her elite millionaire friends who send their kids to private school she hasnt got one clue how the public school system works unacceptable how can anyone defend this he thinks 725 is fine smh,3,6.4143,6.9474,51.99,
166,kimball how many of these do you want me to get for you,3,0.0,0.0,,
167,trump guys never get my vote,3,0.0,1.0,100.0,1.0
168,keep all democrats out of new hampshire,3,0.0,0.0,,
169,didnt vote him but believe he has done a decent job so far and agree that he has worked in a bipartisan manner only problem is his apparent agreement with trump on just about everything,3,1.5325,0.0,100.0,0.0
170, democrats for pedophilia,3,0.0,0.0,,
171, johnny utah i find that hard to believe at my voting pole in nh i have to show a pic id with address that bus tale is also bull shit by the bull  shitter in the wh that was one of his hilarious lies after the 2016 elections nh  sec of state gardner did a voter audit he found six that he might check further if you re all the pos in the wh tried to convince us of the great voter fraud he formed an investigation commission it was disbanded in a short time in embarrassment they found so little it was embarrassing reported by the union leader,3,0.0,0.0,,
172, fu nh democractic party pffthe has done a decent job even cracked down on covid more than a lot of conservatives in this countryto me that took balls he thought for himself made the moves that made sense at certain times dealing with the pandemicnot gonna lie i cursed him out a few times but ultimelty decent jobthis coming from a reg independent who leans righti would like him to fully legalize pot however,3,2.5324999999999998,0.0,100.0,0.0
173,get rid of sununu he only cares about spoiled rich kids like himself ,3,0.0,0.0,,
